ID,IC50_nM
TEST_000,102.97893287103226
TEST_001,25.542131875682436
TEST_002,14.585040440871373
TEST_003,20.741015464957087
TEST_004,20.741015464957087
TEST_005,14.697202521684865
TEST_006,24.726264358919035
TEST_007,22.043038628618234
TEST_008,24.174200102864337
TEST_009,158.3553181184046
TEST_010,155.9166217088738
TEST_011,11.108764520944968
TEST_012,30.44112963679556
TEST_013,119.33186833924962
TEST_014,27.54228703338169
TEST_015,34.07794551801343
TEST_016,10.985548025251708
TEST_017,99.74860807361132
TEST_018,16.367816782609857
TEST_019,32.05569008569223
TEST_020,14.585040440871373
TEST_021,45.26800965216884
TEST_022,65.32819683848807
TEST_023,12.049524239344565
TEST_024,22.043038628618234
TEST_025,24.726264358919035
TEST_026,17.895671095975334
TEST_027,46.832243064101164
TEST_028,14.697202521684865
TEST_029,14.03134966550863
TEST_030,20.741015464957087
TEST_031,19.165983959132575
TEST_032,29.768935004887123
TEST_033,138.83533099290628
TEST_034,110.24669815782744
TEST_035,15.558281336746564
TEST_036,62.98386203060337
TEST_037,261.4912545171894
TEST_038,23.135162795520635
TEST_039,14.697202521684865
TEST_040,10.69651794856334
TEST_041,27.287680427661854
TEST_042,24.174200102864337
TEST_043,14.585040440871373
TEST_044,32.52909828769483
TEST_045,10.853261914839456
TEST_046,67.3028168040125
TEST_047,133.15395389768537
TEST_048,100.42683857687915
TEST_049,17.895671095975334
TEST_050,46.832243064101164
TEST_051,14.03134966550863
TEST_052,35.98377473750798
TEST_053,18.709769160169042
TEST_054,23.135162795520635
TEST_055,14.697202521684865
TEST_056,82.21441613198958
TEST_057,66.3801382547725
TEST_058,22.88158211935709
TEST_059,46.832243064101164
TEST_060,96.03904168275217
TEST_061,16.367816782609857
TEST_062,16.367816782609857
TEST_063,50.88507706515837
TEST_064,19.33792795446892
TEST_065,18.709769160169042
TEST_066,75.31609678868095
TEST_067,32.52909828769483
TEST_068,16.890900815954033
TEST_069,25.542131875682436
TEST_070,17.87172219672298
TEST_071,39.723675879285054
TEST_072,14.03134966550863
TEST_073,43.43738142112457
TEST_074,14.91002119687846
TEST_075,109.58191946888694
TEST_076,22.88158211935709
TEST_077,17.87172219672298
TEST_078,17.87172219672298
TEST_079,47.11636148994789
TEST_080,21.178869668331327
TEST_081,14.03134966550863
TEST_082,45.26800965216884
TEST_083,14.03134966550863
TEST_084,58.91728402040439
TEST_085,46.832243064101164
TEST_086,16.42869907133847
TEST_087,47.11636148994789
TEST_088,100.37675828565287
TEST_089,19.038177001960122
TEST_090,27.287680427661854
TEST_091,23.135162795520635
TEST_092,16.402535230137346
TEST_093,28.327759732807152
TEST_094,13.316936599783315
TEST_095,103.25655577660916
TEST_096,19.33792795446892
TEST_097,31.614249009788203
TEST_098,52.88466017321249
TEST_099,40.19889165394717
TEST_100,13.147832621752787
TEST_101,24.31663224786728
TEST_102,43.16427337199548
TEST_103,39.241073160944026
TEST_104,46.5640110208757
TEST_105,97.14326092723599
TEST_106,42.28075018839218
TEST_107,109.58191946888694
TEST_108,43.16427337199548
TEST_109,81.97705411749232
TEST_110,14.585040440871373
TEST_111,25.555851007014443
TEST_112,25.542131875682436
