ID,IC50_nM
TEST_000,1000
TEST_001,100
TEST_002,100
TEST_003,10
TEST_004,100
TEST_005,100
TEST_006,100
TEST_007,100
TEST_008,100
TEST_009,10000
TEST_010,100
TEST_011,10
TEST_012,100
TEST_013,10
TEST_014,100
TEST_015,100
TEST_016,100
TEST_017,10
TEST_018,100
TEST_019,100
TEST_020,100
TEST_021,100
TEST_022,100
TEST_023,100
TEST_024,100
TEST_025,100
TEST_026,10
TEST_027,100
TEST_028,10
TEST_029,10
TEST_030,100
TEST_031,10
TEST_032,100
TEST_033,10
TEST_034,100
TEST_035,100
TEST_036,100
TEST_037,100
TEST_038,100
TEST_039,100
TEST_040,100
TEST_041,10
TEST_042,100
TEST_043,100
TEST_044,100
TEST_045,1
TEST_046,100
TEST_047,100
TEST_048,100
TEST_049,100
TEST_050,100
TEST_051,100
TEST_052,100
TEST_053,100
TEST_054,100
TEST_055,100
TEST_056,100
TEST_057,1
TEST_058,100
TEST_059,100
TEST_060,100
TEST_061,100
TEST_062,10
TEST_063,100
TEST_064,100
TEST_065,100
TEST_066,100
TEST_067,100
TEST_068,10
TEST_069,100
TEST_070,100
TEST_071,1000
TEST_072,100
TEST_073,100
TEST_074,100
TEST_075,10
TEST_076,100
TEST_077,100
TEST_078,100
TEST_079,100
TEST_080,100
TEST_081,100
TEST_082,100
TEST_083,100
TEST_084,100
TEST_085,10
TEST_086,100
TEST_087,100
TEST_088,100
TEST_089,100
TEST_090,100
TEST_091,100
TEST_092,10
TEST_093,100
TEST_094,10
TEST_095,100
TEST_096,100
TEST_097,100
TEST_098,100
TEST_099,100
TEST_100,100
TEST_101,100
TEST_102,100
TEST_103,100
TEST_104,100
TEST_105,100
TEST_106,100
TEST_107,10
TEST_108,10
TEST_109,100
TEST_110,100
TEST_111,10
TEST_112,100
