ID,IC50_nM
TEST_000,855.502180708054
TEST_001,19.403355632611646
TEST_002,17.834402645549403
TEST_003,22.19087961289854
TEST_004,26.735915907712606
TEST_005,23.20017455360659
TEST_006,22.10576735556909
TEST_007,25.845035904434088
TEST_008,17.6957262442641
TEST_009,593.3920125063567
TEST_010,434.3765943908544
TEST_011,6.089883326878901
TEST_012,21.73709045682199
TEST_013,297.1311780325048
TEST_014,24.787009165645127
TEST_015,26.015946799991305
TEST_016,22.858150494257995
TEST_017,200.5886242817831
TEST_018,42.29993787285131
TEST_019,22.74504949175696
TEST_020,17.834402645549403
TEST_021,20.204016956887944
TEST_022,10.911627595327081
TEST_023,23.60004547195642
TEST_024,21.97843646298561
TEST_025,32.15425017120158
TEST_026,24.074293529206134
TEST_027,30.100348912359763
TEST_028,19.323280948971146
TEST_029,29.970336819095877
TEST_030,21.40552239696516
TEST_031,30.082771615958634
TEST_032,17.852115397849605
TEST_033,151.31592715400103
TEST_034,54.30742849049256
TEST_035,21.536099455598315
TEST_036,54.5619231284763
TEST_037,33.338568840976144
TEST_038,17.759484578975076
TEST_039,18.629151036075196
TEST_040,18.305462734411584
TEST_041,18.090161925517084
TEST_042,39.52919253187097
TEST_043,17.834402645549403
TEST_044,17.245846075452214
TEST_045,8.307827027680627
TEST_046,54.06821035095168
TEST_047,319.5027188486607
TEST_048,331.24136192555125
TEST_049,16.306306369722908
TEST_050,37.60479786581004
TEST_051,32.30196420486396
TEST_052,20.976795233444157
TEST_053,30.692087401447385
TEST_054,18.816026419551708
TEST_055,16.52929857960931
TEST_056,233.65099195048205
TEST_057,78.82308377247202
TEST_058,33.26078042539484
TEST_059,18.17648746434311
TEST_060,197.95201279369599
TEST_061,15.60681082729405
TEST_062,21.99587762135822
TEST_063,15.547307168258147
TEST_064,22.27318603532467
TEST_065,30.459606529012433
TEST_066,17.83387931455451
TEST_067,14.852250514578824
TEST_068,15.299346215199229
TEST_069,18.010043198048795
TEST_070,17.221290711965725
TEST_071,159.3710572034475
TEST_072,35.30705305205849
TEST_073,20.064138552190208
TEST_074,16.287479736072267
TEST_075,189.66663719992397
TEST_076,20.06386732498429
TEST_077,47.288888888354656
TEST_078,17.574865339606887
TEST_079,16.22638636454603
TEST_080,20.900443728853187
TEST_081,38.27975786870257
TEST_082,19.618915846241006
TEST_083,22.3452108616416
TEST_084,17.51192167670281
TEST_085,26.912458111110144
TEST_086,22.380099731554512
TEST_087,15.988709402505304
TEST_088,141.43423707181773
TEST_089,22.72004665325032
TEST_090,20.124124230890562
TEST_091,23.371951753083746
TEST_092,16.506420454720875
TEST_093,18.113844874020103
TEST_094,15.986066860774745
TEST_095,177.5107279874259
TEST_096,22.27318603532467
TEST_097,18.93104703718922
TEST_098,70.53279828853934
TEST_099,23.952840309013627
TEST_100,59.05826028245018
TEST_101,26.983538181673868
TEST_102,146.34956524912587
TEST_103,25.631226525571122
TEST_104,20.295840643157483
TEST_105,210.98425994977185
TEST_106,22.51999442711528
TEST_107,177.02297920786214
TEST_108,14.017503885476412
TEST_109,230.36064058772936
TEST_110,17.834402645549403
TEST_111,23.442849250667212
TEST_112,21.85212219191339
