ID,IC50_nM
TEST_000,460.62764605965776
TEST_001,34.052316920897795
TEST_002,13.693043883912068
TEST_003,21.689522948326307
TEST_004,28.4053405253978
TEST_005,14.598223215980566
TEST_006,22.320298585742933
TEST_007,28.10606200334383
TEST_008,40.597566325156606
TEST_009,82.88004915972662
TEST_010,138.8513159212293
TEST_011,26.040340977101508
TEST_012,37.886108614890624
TEST_013,266.6858664521486
TEST_014,25.635984480551645
TEST_015,35.612298094276255
TEST_016,22.741372224624293
TEST_017,22.7674444549662
TEST_018,17.198873412382447
TEST_019,24.466959325895168
TEST_020,13.22208668190256
TEST_021,22.284351492703166
TEST_022,66.08455958120292
TEST_023,12.87359967715788
TEST_024,11.244755064873914
TEST_025,20.097868485317058
TEST_026,14.047531026968791
TEST_027,39.321493070169886
TEST_028,15.286216280272647
TEST_029,12.260269026779229
TEST_030,15.710861496739627
TEST_031,15.718098282039142
TEST_032,19.48946869862049
TEST_033,67.8109767493434
TEST_034,45.188071735783744
TEST_035,16.390794298229483
TEST_036,30.603187748929166
TEST_037,36.88926481189972
TEST_038,16.08421982399097
TEST_039,28.800498174428473
TEST_040,14.310890761806851
TEST_041,25.775078699705585
TEST_042,16.853883981266133
TEST_043,13.22208668190256
TEST_044,24.54426323144826
TEST_045,4.211143104363213
TEST_046,49.18243198114005
TEST_047,63.40302808752381
TEST_048,57.77633643335192
TEST_049,16.966802323464552
TEST_050,28.91123652185597
TEST_051,12.820353491189511
TEST_052,29.22133142440358
TEST_053,11.153213095598531
TEST_054,17.951469271031502
TEST_055,14.753667784065954
TEST_056,59.15616341754767
TEST_057,83.4641548277324
TEST_058,39.746601445763595
TEST_059,28.926773831201125
TEST_060,66.09977786538265
TEST_061,12.192703139700402
TEST_062,16.818993394285332
TEST_063,32.05900210356271
TEST_064,38.62780230114942
TEST_065,16.270466311748855
TEST_066,28.49049533909905
TEST_067,35.034828830157046
TEST_068,24.957437948315995
TEST_069,30.665261087153564
TEST_070,14.611674870209868
TEST_071,75.21422760871623
TEST_072,12.603756378944256
TEST_073,42.923981597046975
TEST_074,15.424105957495875
TEST_075,35.213912901884385
TEST_076,19.984808910220487
TEST_077,15.958791472367306
TEST_078,14.371430533563869
TEST_079,24.900037433882062
TEST_080,17.924621756514828
TEST_081,21.173858184863896
TEST_082,31.79069335643358
TEST_083,12.410806372156562
TEST_084,37.38952948784983
TEST_085,33.57376142429558
TEST_086,19.015160697745838
TEST_087,27.44100418256587
TEST_088,59.91699166264958
TEST_089,20.190636031287998
TEST_090,48.03192583726734
TEST_091,48.78653791974756
TEST_092,13.753080974214573
TEST_093,31.08135902739486
TEST_094,20.39388659608639
TEST_095,57.58375744868413
TEST_096,38.62780230114942
TEST_097,46.90293284059355
TEST_098,38.33098680392002
TEST_099,21.212897818830875
TEST_100,17.04904275992894
TEST_101,27.43152803205795
TEST_102,76.55084694182419
TEST_103,21.567509598981935
TEST_104,50.22269341823879
TEST_105,65.3280958830393
TEST_106,21.037784397664687
TEST_107,20.333600458609407
TEST_108,26.24822861606366
TEST_109,57.889526856566484
TEST_110,13.22208668190256
TEST_111,31.224824062232805
TEST_112,24.578195818632995
