ID,IC50_nM
TEST_000,103.5740416099882
TEST_001,28.246732111998156
TEST_002,21.981653530759285
TEST_003,22.15150003790704
TEST_004,20.414527509850352
TEST_005,22.817771130945985
TEST_006,31.30642740884261
TEST_007,21.57786549434052
TEST_008,32.153320006741104
TEST_009,84.68805283904673
TEST_010,92.47528573111845
TEST_011,20.09996168430498
TEST_012,19.843586613930288
TEST_013,53.81656450685086
TEST_014,27.681845975039906
TEST_015,28.85445283856006
TEST_016,26.3209470529261
TEST_017,51.29269930115353
TEST_018,21.746873774664344
TEST_019,34.08898562042015
TEST_020,22.063824306641653
TEST_021,26.949137059871482
TEST_022,77.59457927855603
TEST_023,17.543885364345375
TEST_024,33.32535265004535
TEST_025,24.904160114540492
TEST_026,26.551263764074157
TEST_027,24.47133670372393
TEST_028,22.243630149152462
TEST_029,30.562937786665287
TEST_030,22.877101774863558
TEST_031,27.45666742486748
TEST_032,35.14451193201533
TEST_033,52.04012171645933
TEST_034,45.070901892552136
TEST_035,19.110423356274215
TEST_036,47.232682900685894
TEST_037,40.25643392360995
TEST_038,29.1709436052628
TEST_039,20.892465639772368
TEST_040,24.99269532017038
TEST_041,27.456058846987634
TEST_042,34.37393324092817
TEST_043,22.063824306641653
TEST_044,26.297312045002638
TEST_045,14.841465063341534
TEST_046,49.86731499494042
TEST_047,73.06375754050677
TEST_048,84.34618196156266
TEST_049,24.934222208306146
TEST_050,54.69083903435574
TEST_051,28.079250152886257
TEST_052,30.324859912138976
TEST_053,26.021901701117617
TEST_054,32.7286290286275
TEST_055,19.020696626145565
TEST_056,83.90359339992061
TEST_057,35.671695666861545
TEST_058,22.6976632319101
TEST_059,31.335516936942373
TEST_060,77.23838991914525
TEST_061,41.76234634609632
TEST_062,21.79574100961815
TEST_063,27.200578934721932
TEST_064,23.05615025828768
TEST_065,21.90888355362489
TEST_066,25.484066748493067
TEST_067,24.50959652060065
TEST_068,22.0252577837585
TEST_069,28.302071476661844
TEST_070,23.805716576869848
TEST_071,59.26513116144406
TEST_072,21.625905715094778
TEST_073,24.473988838010115
TEST_074,21.68319713541852
TEST_075,51.97528452760105
TEST_076,24.730954616898398
TEST_077,26.133121707703935
TEST_078,26.06609208722223
TEST_079,30.790190257057052
TEST_080,29.323390892979585
TEST_081,21.32271775213714
TEST_082,21.953392532074183
TEST_083,21.735619058182653
TEST_084,27.048798982110767
TEST_085,35.035178207784746
TEST_086,19.97062716537527
TEST_087,29.195566324472885
TEST_088,74.22596929740521
TEST_089,27.602729984202977
TEST_090,35.879505799541626
TEST_091,20.673534984463103
TEST_092,24.42969954541627
TEST_093,35.953371385876416
TEST_094,25.54889144458472
TEST_095,87.83908093515036
TEST_096,23.05615025828768
TEST_097,34.44407055929488
TEST_098,74.54255330894267
TEST_099,25.439422567135114
TEST_100,20.12086629095943
TEST_101,24.437314590361026
TEST_102,61.57817052865175
TEST_103,27.199506236773
TEST_104,27.99411205500064
TEST_105,88.79850226521813
TEST_106,30.255223154986133
TEST_107,51.69357432697688
TEST_108,29.266493697012848
TEST_109,94.75352796092082
TEST_110,22.063824306641653
TEST_111,28.975762876700976
TEST_112,26.832788206490612
