ID,IC50_nM
TEST_000,113.25704665429215
TEST_001,26.51279552087298
TEST_002,21.55444737925805
TEST_003,22.096857717920244
TEST_004,19.048425616098168
TEST_005,21.573401364328944
TEST_006,30.44031179039971
TEST_007,19.589397091890067
TEST_008,33.25825136561932
TEST_009,81.94126365461617
TEST_010,87.77030402152782
TEST_011,18.096365872552038
TEST_012,17.66650413889709
TEST_013,64.02117214415489
TEST_014,26.051490805202445
TEST_015,27.332552443369252
TEST_016,25.900837233179562
TEST_017,53.46848640550285
TEST_018,19.002294181406768
TEST_019,32.852415562553986
TEST_020,22.005227958402013
TEST_021,26.49693766060215
TEST_022,80.02375515560831
TEST_023,16.929152746052708
TEST_024,33.454416958252615
TEST_025,24.477022018929002
TEST_026,22.875409769325707
TEST_027,21.178344162814287
TEST_028,22.679112709445292
TEST_029,30.077090805653192
TEST_030,21.988770928132336
TEST_031,28.268333368973764
TEST_032,30.08381431971749
TEST_033,62.989761684530485
TEST_034,43.80046412502828
TEST_035,17.055176756739534
TEST_036,43.48634169200368
TEST_037,40.57958150880215
TEST_038,31.187983720868345
TEST_039,19.2154371633399
TEST_040,24.140078220310674
TEST_041,27.21440062328672
TEST_042,30.524087158599723
TEST_043,22.005227958402013
TEST_044,25.563988158310828
TEST_045,13.537947252224392
TEST_046,49.38209798625788
TEST_047,73.5709316724067
TEST_048,80.78651377003521
TEST_049,23.729884969266397
TEST_050,39.05567269030486
TEST_051,25.124732759194636
TEST_052,29.02834769110494
TEST_053,25.310395828122736
TEST_054,27.89660370547169
TEST_055,18.505750457253026
TEST_056,85.38783676874557
TEST_057,36.954434306784314
TEST_058,21.46753782752096
TEST_059,27.209043340718814
TEST_060,78.71671728174476
TEST_061,39.96094180418339
TEST_062,20.499585113644134
TEST_063,26.307689764325662
TEST_064,23.968898712226995
TEST_065,22.326477197770952
TEST_066,23.287910427612058
TEST_067,29.773416224884187
TEST_068,22.65327614767646
TEST_069,26.700823498902558
TEST_070,23.850125317521176
TEST_071,51.38776855239635
TEST_072,21.827181506265315
TEST_073,25.56441281189085
TEST_074,20.545835584343447
TEST_075,52.852322341580994
TEST_076,24.272213925090874
TEST_077,26.786386065263695
TEST_078,25.103802592115343
TEST_079,28.27551697280216
TEST_080,28.799041064718608
TEST_081,21.32552736150878
TEST_082,19.279963145679943
TEST_083,21.48659903882624
TEST_084,24.072191570030242
TEST_085,33.65109702734944
TEST_086,18.805669536375195
TEST_087,26.05694902389115
TEST_088,69.18877912412208
TEST_089,25.979852327687496
TEST_090,35.42619521823444
TEST_091,20.223388743779747
TEST_092,21.82425071857359
TEST_093,38.03955625984808
TEST_094,28.413669609614626
TEST_095,83.82906289042481
TEST_096,23.968898712226995
TEST_097,36.362267103006296
TEST_098,67.0265202448568
TEST_099,25.23194155040397
TEST_100,18.140583753530628
TEST_101,23.74509000785059
TEST_102,54.78508624988799
TEST_103,26.29944455346575
TEST_104,29.098242137570853
TEST_105,90.06427210636332
TEST_106,27.727470539847435
TEST_107,58.81286759228089
TEST_108,24.643529949058053
TEST_109,95.92456325471065
TEST_110,22.005227958402013
TEST_111,28.452808191000564
TEST_112,25.02156123104877
