ID,IC50_nM
TEST_000,370.2648
TEST_001,52.384293
TEST_002,16.349243
TEST_003,25.21071
TEST_004,18.695602
TEST_005,11.445663
TEST_006,14.585437
TEST_007,18.555603
TEST_008,55.453796
TEST_009,374.91608
TEST_010,406.21957
TEST_011,39.448174
TEST_012,18.184496
TEST_013,114.004364
TEST_014,33.59231
TEST_015,55.60616
TEST_016,22.737259
TEST_017,27.448706
TEST_018,29.40815
TEST_019,47.451088
TEST_020,16.349243
TEST_021,34.83318
TEST_022,275.62408
TEST_023,11.445663
TEST_024,17.998869
TEST_025,13.465069
TEST_026,6.5739627
TEST_027,68.360916
TEST_028,118.182755
TEST_029,41.989697
TEST_030,11.396669
TEST_031,47.432907
TEST_032,29.197256
TEST_033,205.02156
TEST_034,68.410995
TEST_035,16.743784
TEST_036,26.492352
TEST_037,334.31372
TEST_038,18.658876
TEST_039,15.427713
TEST_040,17.447783
TEST_041,64.616615
TEST_042,48.63087
TEST_043,16.349243
TEST_044,27.56383
TEST_045,7.9796567
TEST_046,110.53904
TEST_047,278.07986
TEST_048,117.44041
TEST_049,43.0856
TEST_050,99.26707
TEST_051,16.391338
TEST_052,36.07776
TEST_053,15.463666
TEST_054,37.771328
TEST_055,43.0856
TEST_056,49.083347
TEST_057,15.999936
TEST_058,53.312206
TEST_059,21.749968
TEST_060,69.464134
TEST_061,17.577765
TEST_062,62.2753
TEST_063,52.465626
TEST_064,33.047516
TEST_065,52.25722
TEST_066,39.42648
TEST_067,32.667923
TEST_068,22.107914
TEST_069,52.384293
TEST_070,16.397295
TEST_071,49.89354
TEST_072,12.600522
TEST_073,18.33218
TEST_074,16.349243
TEST_075,29.136923
TEST_076,20.754143
TEST_077,33.206497
TEST_078,16.349243
TEST_079,23.255344
TEST_080,17.309198
TEST_081,25.687246
TEST_082,47.188454
TEST_083,16.392183
TEST_084,63.630962
TEST_085,50.36954
TEST_086,17.354794
TEST_087,15.040452
TEST_088,43.90165
TEST_089,31.645945
TEST_090,88.128624
TEST_091,35.080086
TEST_092,14.606575
TEST_093,63.2528
TEST_094,23.06053
TEST_095,86.02792
TEST_096,33.047516
TEST_097,55.616783
TEST_098,57.63628
TEST_099,56.88106
TEST_100,20.587852
TEST_101,15.696892
TEST_102,54.71312
TEST_103,82.25559
TEST_104,69.35858
TEST_105,76.529205
TEST_106,77.40137
TEST_107,24.212593
TEST_108,28.074701
TEST_109,75.44687
TEST_110,16.349243
TEST_111,52.277252
TEST_112,20.761824
