ID,IC50_nM
TEST_000,750.13055
TEST_001,28.694141
TEST_002,10.240848
TEST_003,34.83731
TEST_004,26.745567
TEST_005,11.792922
TEST_006,20.849957
TEST_007,29.772411
TEST_008,16.35592
TEST_009,623.0703
TEST_010,521.0431
TEST_011,7.1034923
TEST_012,28.069492
TEST_013,91.68804
TEST_014,23.375277
TEST_015,39.43068
TEST_016,17.01041
TEST_017,29.471666
TEST_018,12.617106
TEST_019,14.446285
TEST_020,11.266383
TEST_021,17.565456
TEST_022,97.85316
TEST_023,11.036586
TEST_024,8.324454
TEST_025,34.49218
TEST_026,2.432731
TEST_027,43.490784
TEST_028,88.4524
TEST_029,28.544977
TEST_030,8.034215
TEST_031,30.134466
TEST_032,41.59453
TEST_033,33.6832
TEST_034,59.627148
TEST_035,9.041385
TEST_036,16.58566
TEST_037,102.45054
TEST_038,28.734434
TEST_039,22.201393
TEST_040,8.324454
TEST_041,23.312584
TEST_042,33.79151
TEST_043,11.266383
TEST_044,16.021418
TEST_045,5.2774315
TEST_046,168.92245
TEST_047,654.2222
TEST_048,177.96623
TEST_049,43.579067
TEST_050,33.43838
TEST_051,9.393035
TEST_052,33.370934
TEST_053,8.488372
TEST_054,22.171553
TEST_055,40.784134
TEST_056,119.34013
TEST_057,54.0839
TEST_058,14.216726
TEST_059,3.285811
TEST_060,163.00507
TEST_061,9.877217
TEST_062,32.729748
TEST_063,49.301987
TEST_064,17.506271
TEST_065,30.626497
TEST_066,25.119366
TEST_067,19.90834
TEST_068,11.536921
TEST_069,28.694141
TEST_070,12.038467
TEST_071,93.00246
TEST_072,9.177425
TEST_073,29.40996
TEST_074,11.266383
TEST_075,31.671423
TEST_076,29.8589
TEST_077,29.519823
TEST_078,12.038467
TEST_079,21.440596
TEST_080,18.637785
TEST_081,17.685516
TEST_082,25.702255
TEST_083,11.045606
TEST_084,67.7494
TEST_085,20.70871
TEST_086,15.481962
TEST_087,3.1887755
TEST_088,100.07447
TEST_089,17.01041
TEST_090,35.872284
TEST_091,24.05665
TEST_092,38.20464
TEST_093,15.294726
TEST_094,10.487497
TEST_095,200.6932
TEST_096,17.506271
TEST_097,17.476791
TEST_098,83.01454
TEST_099,21.771687
TEST_100,11.0522175
TEST_101,32.166183
TEST_102,54.792053
TEST_103,22.434204
TEST_104,38.828697
TEST_105,184.64027
TEST_106,40.151833
TEST_107,48.98305
TEST_108,41.115723
TEST_109,163.00507
TEST_110,11.266383
TEST_111,14.1516285
TEST_112,48.067486
