ID,IC50_nM
TEST_000,256.14089250778176
TEST_001,33.49721271394982
TEST_002,12.329179532251908
TEST_003,21.789359702782637
TEST_004,23.16709147865799
TEST_005,10.264421695770125
TEST_006,23.439968708697876
TEST_007,22.967981204768876
TEST_008,38.19668331500518
TEST_009,210.23578009729115
TEST_010,204.03918485018988
TEST_011,16.804365517664767
TEST_012,19.771377229677928
TEST_013,132.53969724112028
TEST_014,27.267286415293167
TEST_015,37.22673811210254
TEST_016,23.65734293135227
TEST_017,48.03265631568888
TEST_018,14.079070880207173
TEST_019,39.35852135746761
TEST_020,12.376397955148786
TEST_021,26.617696961916465
TEST_022,109.68134598101885
TEST_023,9.904677159977268
TEST_024,13.723988561976304
TEST_025,19.723476453034937
TEST_026,12.607439837935768
TEST_027,33.72483754312666
TEST_028,19.287980034636867
TEST_029,20.41927793456623
TEST_030,11.999401440642366
TEST_031,19.291886125990725
TEST_032,29.423978192204668
TEST_033,115.49452998887183
TEST_034,71.02072129249365
TEST_035,11.47339941361058
TEST_036,35.8662341320177
TEST_037,73.50392064002956
TEST_038,20.566646478581852
TEST_039,23.47450325691406
TEST_040,12.47145663507534
TEST_041,29.164479094458176
TEST_042,20.37468320439581
TEST_043,12.376397955148786
TEST_044,29.583861528869214
TEST_045,7.785624568425915
TEST_046,56.07024998477205
TEST_047,76.35544264501664
TEST_048,80.67011939561569
TEST_049,18.894481283881642
TEST_050,44.04784867899603
TEST_051,15.484390609365759
TEST_052,36.758489641537174
TEST_053,10.489226861288
TEST_054,25.09321939300285
TEST_055,18.464752537657514
TEST_056,77.02626182541128
TEST_057,31.26680990873597
TEST_058,29.65343003680349
TEST_059,37.16502906683033
TEST_060,64.94852100030792
TEST_061,17.898895702625182
TEST_062,19.372974350963442
TEST_063,32.40366854978208
TEST_064,31.977629520587133
TEST_065,18.448833259227875
TEST_066,41.63911641178051
TEST_067,32.378128314502554
TEST_068,15.380132400718777
TEST_069,32.76899792500529
TEST_070,12.636620027387602
TEST_071,81.93029337044786
TEST_072,9.991917939458528
TEST_073,30.210051654549854
TEST_074,16.0787407977383
TEST_075,52.21562931800829
TEST_076,21.265726800608572
TEST_077,15.441515408732265
TEST_078,11.992190899770627
TEST_079,32.492695164815146
TEST_080,21.734058443236098
TEST_081,18.622927432894244
TEST_082,29.432012747255254
TEST_083,10.435643045800262
TEST_084,41.52330965255465
TEST_085,45.66264722774765
TEST_086,16.6202681984499
TEST_087,34.78500244166932
TEST_088,56.68042735076589
TEST_089,25.59734511852243
TEST_090,42.00793084323446
TEST_091,38.78735510802233
TEST_092,20.188379343282513
TEST_093,36.97878942443725
TEST_094,19.075655029389633
TEST_095,68.222535639352
TEST_096,31.977629520587133
TEST_097,37.22252020331996
TEST_098,49.41475327840873
TEST_099,27.263343882316725
TEST_100,11.64682339414716
TEST_101,24.41881371432695
TEST_102,67.61611249466041
TEST_103,28.206496523183922
TEST_104,52.66297926866499
TEST_105,69.35095254192305
TEST_106,41.4936853655545
TEST_107,51.128213188266756
TEST_108,36.484889783360195
TEST_109,63.9495470181128
TEST_110,12.376397955148786
TEST_111,34.71502657486391
TEST_112,25.446854359694758
