ID,IC50_nM,pIC50
TEST_000,0,7.5564737
TEST_001,0,7.559267
TEST_002,0,7.5574865
TEST_003,0,7.555411
TEST_004,0,7.5559
TEST_005,0,7.5533915
TEST_006,0,7.557175
TEST_007,0,7.556226
TEST_008,0,7.559786
TEST_009,0,7.554516
TEST_010,0,7.5563936
TEST_011,0,7.55806
TEST_012,0,7.5557203
TEST_013,0,7.557944
TEST_014,0,7.5567665
TEST_015,0,7.5589457
TEST_016,0,7.5570273
TEST_017,0,7.5575113
TEST_018,0,7.5561676
TEST_019,0,7.558587
TEST_020,0,7.5580173
TEST_021,0,7.554205
TEST_022,0,7.560191
TEST_023,0,7.553994
TEST_024,0,7.5584216
TEST_025,0,7.5551376
TEST_026,0,7.5529623
TEST_027,0,7.556855
TEST_028,0,7.554884
TEST_029,0,7.5549645
TEST_030,0,7.5521545
TEST_031,0,7.5562983
TEST_032,0,7.5581503
TEST_033,0,7.5563755
TEST_034,0,7.556855
TEST_035,0,7.5564923
TEST_036,0,7.5574627
TEST_037,0,7.559267
TEST_038,0,7.5554247
TEST_039,0,7.5569615
TEST_040,0,7.558447
TEST_041,0,7.5550117
TEST_042,0,7.5566597
TEST_043,0,7.5580177
TEST_044,0,7.5577183
TEST_045,0,7.555339
TEST_046,0,7.5532856
TEST_047,0,7.5515976
TEST_048,0,7.5545654
TEST_049,0,7.5564947
TEST_050,0,7.554196
TEST_051,0,7.5561676
TEST_052,0,7.5562253
TEST_053,0,7.5519543
TEST_054,0,7.556493
TEST_055,0,7.557024
TEST_056,0,7.556315
TEST_057,0,7.558212
TEST_058,0,7.554696
TEST_059,0,7.5574813
TEST_060,0,7.5542536
TEST_061,0,7.5575953
TEST_062,0,7.555297
TEST_063,0,7.558874
TEST_064,0,7.5588093
TEST_065,0,7.5565825
TEST_066,0,7.5590973
TEST_067,0,7.553057
TEST_068,0,7.5550675
TEST_069,0,7.55904
TEST_070,0,7.5582886
TEST_071,0,7.555392
TEST_072,0,7.5516777
TEST_073,0,7.558082
TEST_074,0,7.5573416
TEST_075,0,7.5575128
TEST_076,0,7.5554247
TEST_077,0,7.553452
TEST_078,0,7.5574865
TEST_079,0,7.558139
TEST_080,0,7.5559006
TEST_081,0,7.5556393
TEST_082,0,7.557162
TEST_083,0,7.551227
TEST_084,0,7.5587835
TEST_085,0,7.557855
TEST_086,0,7.5579176
TEST_087,0,7.5578628
TEST_088,0,7.5509014
TEST_089,0,7.5568547
TEST_090,0,7.55583
TEST_091,0,7.558715
TEST_092,0,7.555021
TEST_093,0,7.5599194
TEST_094,0,7.555582
TEST_095,0,7.5575495
TEST_096,0,7.5588093
TEST_097,0,7.5600033
TEST_098,0,7.55555
TEST_099,0,7.5536523
TEST_100,0,7.5525117
TEST_101,0,7.5555873
TEST_102,0,7.555352
TEST_103,0,7.5533476
TEST_104,0,7.5558333
TEST_105,0,7.552722
TEST_106,0,7.5571613
TEST_107,0,7.5526285
TEST_108,0,7.5589347
TEST_109,0,7.553443
TEST_110,0,7.558017
TEST_111,0,7.5539894
TEST_112,0,7.558014
